,Unnamed: 0,0
0,0,Doctor Strange is easily Marvel's most powerful and best hero
1,1,"The lyrics really fits Doctor Strange

""I was broken"" - he did, the accident destroy his fingers and his career
""You built me up, you make me a Believer, Believer"" - Ancient One really did that"
2,2,Some songs never gets old 
3,3,"This song never gets old. No matter how much I listen, such a legendary song......."
4,4,"2008 : we got a legend
2016 : we got another legend
Both were sherlock holmes but still Benedict was my fav."
5,5,0:53 the scene and music are in sync...the beat matches perfectly
6,6,"1:50 Sling-ring teleportation
1:57 Dimensional Travel
2:00 Duplication 
2:11 Cloak of levitation"
7,7,0:56 I thought I was seperated from my soul. What a perfection of timing!!  
8,8,Omg this gives me massive goosebumps dr strange is just so powerful and cool for me he is the best superhero
9,9,Goosebumbs 
10,10,0:54 - timing was PERFECT it actually gave me GOOSEBUMPS. Great video - and choice of music; I personally think it suits the movie! <3 <3 <3
11,11,This Song is perfectly perfectly made for Dr. Strange 
12,12,"Over 2 million views?!?!? Can someone explain how this happened??? This is one of the first videos I made and I did not expect it to be watched by so many people. I'm glad so many have enjoyed it, and I'll have a couple new videos out soon (hint: more Marvel, and the show Black Mirror) <3"
13,13,No other movie has topped Dr Strange yet..will always be my favorite of all time..I will watch it when Im 80 yrs old and still love it so much 
14,14,Best scene a soul separate from the body
15,15,The timing of that loud sound at 2:51 was so perfectly timed
16,16,"aster of my sea, oh ooh

I was broken from a young age
Taking my sulking to the masses"
17,17,Can we take a moment and realize that this channel got 86k subscribers from just this one video. That's Legendary.
18,18,"I love Dr. Strange
I love Believer 
I love this, you did a great job!"
19,19,Dr. Strange is one of the most powerful Avengers and this video is amazing!
20,20,I personally think that dr strange is the best hero
21,21,This was one of the most beautiful movies I've seen in such a long long time. If you really wrapped your head around what was being said and done.
22,22,ENCAJA PERFECTAMENTE CON LO QUE PASA EN LA PELICULA :D
23,23,"Excellent quality! Great video, great role model (after he went through some things, though very lucky guy imho) and great music (thank you!)"
24,24,O criador desse vídeo merece um Oscar mas como não posso dar um ....ei vou dar um like
25,25,Doctor Strange is easily Marvel's most powerful and best hero
26,26,"The only person  who can make Iron man,Captain America and Natasha return"
27,27,This is the best video edit ever seen with a song perfectly matching
28,28,Though I m not a fan of Dr.Strange this song makes me get addicted towards him. Song timing matches with Dr.Strange's timing
29,29,For all of the things he went through the song fits him perfectly 
30,30,"This editing skill is god tier, i would never achieve this kinda skill in a million years"
31,31,Get goose bumps every time and sec listen to this song 
32,32,GREAT EDITS!
33,33,"The most underratted film in mcu
The movie is on whole another level"
34,34,"Doctor Strange  es el mejor Avenger que he visto, lo amo!!! "
35,35,Just close your eyes and try to feel this song . 
36,36,"This song really suits him, 
His ""pain"" really made him a believer..."
37,37,"Doctor strange is a legend 
And will always be"
38,38,Am i the only one who thinks he should be the new avengers leader?
39,39,Legends are not born they are created
40,40,"I always though iron man would be the most interesting avenger in terms of backstory, but as I watched this movie i was completely mind blown!"
41,41,"Sherlock and Strange, they both are believers."
42,42,"First things first
I'ma say all the words inside my head
I'm fired up and tired of the way
That things have been, oh-ooh"
43,43,Doctor strange is unbelievable  always in heart      
44,44,0:54 soul out from body was literally  amazing
45,45,PERFECTLY SYNCHRONIZED!!!
46,46,I seriously loved it and omg what to tell about the editing and music. Really very talented. Awesome.
47,47,I had never seen such a video matching with the song before. LOVED IT VERY MUCH
48,48,This is probably my favorite one out of all the edits I’ve seen
49,49,Flashback to a legendary movie 
50,50,This song really brings goosebumpsReally love this song
51,51,"My lips : singing along the song 

My eyes : seeing comments "
52,52,This song is very suitable for Doctor Strange
53,53,Your timing in this video is PERFECT! Wonderful job!
54,54,I just love this song️
55,55,"When he flies in the air like a wizard  Man! admire that  , he is the coolest avenger ever "
56,56,Um verdadeiro mago
57,57,When doctor strange come with clock of limitation with this song it is literally insane
58,58,Dr. Strange is my favorite Avenger
59,59,"My favorite MCU character by far... 


The Cape. I mean how could you not love it! Oh yeah Strange is second."
60,60,This song fits Doctor Strange 100%
61,61,Perfectly edited...this can also be the  real video of believer for marvel fans..
62,62,"When we listen to this song, our body will be full of energy and power."
63,63,Anyone else wish they could hear this song for the first time again ?
64,64,I love the way they compile the main events in the movie to go perfectly with the beat drop
65,65,This song will never be old
66,66,"Doctor strange is my best and favorite hero in the marvel avengers..
He is not only inspirational but phenomenal and unstoppable..
.
."
67,67,I enjoyed every second of it. Thank you ️
68,68,"0:57 this part is amazing,the ""ei"" of the song is coordinated with the punch"
69,69,Some songs never gets old
70,70,The beats of the song are almost perfectly synchronized with the actions....keep it up
71,71,"Lets, appreciete how smooth he,s edit"
72,72,It seems as if this song is made for dr strange !
73,73,Amo esta pelicula 
74,74,"Dr strange is my fav avenger . 
He is the best 
Love him so much"
75,75,One of the best edits I've seen in my life :)
76,76,The only doctor who can reverse my timeline the only doctor who can take back my lovely childhood
77,77,I love Dr. Strange!!!! 
78,78,This is freaking amazing!! I love the editing! Great job! :D Applaud :D
79,79,The editing on this is AWESOME! Thank you so much
80,80,Doctor Strange and Iron Man are the best
81,81,so far this is the best clip as far i enjoyed watching and its well done .
82,82,"Es muy hermoso el video   ;"")"
83,83,Awesome edit ️
84,84,"Wow, all the beats were perfectly timed with the scenes, THIS IS GREAT"
85,85,This video is enough to recover the nostalgia
86,86,"Mom:Clean your room
Me:I am the one at the sail,i'm the master of my sea.
Mom:Slaps me.
Me""PAAAIIIN"""
87,87,I literally had goosebumps during the soul speration scene. 
88,88,I'm literally  in love with doctor  strange's personality and attitude 
89,89,This song is amazing 
90,90,"Wow, increible, me encanto"
91,91,This song will always rock 
92,92,"I never expected this video to get so many views!! Thanks to everyone who's watched :)
I'm very slow at putting together videos, but hopefully I'll have something new up soon x"
93,93,Muy buena canción bro 
94,94,Some songs never get old
95,95,Dr Strange is amazing 
96,96,Some  songs never gets old
97,97,"10% Cool
90% Goosebumps"
98,98,Ficou de mais pow    adorei mano 
99,99,It all started with a believe that he will get back his previous hands no matter what! Infact dr strange is the first marvel movie which i watched...i loved it and then I started following mcu movies quite recently.️️️
100,100,"Doctor Strange: I will give you the time stone
Thanos:  :)
Doctor strange: after a bargain
Thanos: X("
101,101,I literally had goosebumps during the soul speration scene. 
102,102,Benedict is an amazing actor. Also amazing edit
103,103,Dr.strange was a great  character
104,104,Love this song a lot
105,105,muito bom
106,106,"The accident took his everything
                         &
The magic made him everything"
107,107,the man who was ready to die for eternity.No other superhero is matchable with him
108,108,Doctor strange has a whole different level of swag
109,109,Dr. Strange is my second favourite Avenger I don't know why but there is something unique and cool about him also something strange 
110,110,When you are on a spiritual path and you listen to this everyday. 
111,111,"damn, the lyrics and the scene just on time, love it so much！！！"
112,112,year 2018 and im watch this again again again.. I LOVE MARVEL ITS AWESOMEE !!!
113,113,Dr. Strange sin duda el mejor 
114,114,0:53 what a sync️️️
115,115,"I always thought iron man and Dr strange together will be the most badass duo.
But no wonder how Thanos could defeat them "
116,116,Never gets old
117,117,This song will be legendary forever
118,118,"""Dr. Strange"" movie itself is so fantastic the amvs and videos related to it also looks very much interesting"
119,119,"YouTube recommended this to me and wow, this absolutely made my day! You got a new subscriber! Keep up the fabulous work!"
120,120,"Me : How many times did I watch this video
Dr Strange - 14 million 605 times 
Me: How many times I got chills 
Dr Strange: Everytime "
121,121,Your editing is tremendous.....keep it up ....it's damn awesome...perfect scenes at perfect pitch....u nailed it 
122,122,"0:17
0:45
0:54
Matches the song really well, I personally think this whole video was just a terrific choice with the basic concept of the movie and this song's concept going along so well"
123,123,Favourite song never dies 
124,124,"I don't comment very often, but I REALLy liked this. I liked the song put to Doctor Strange and I think you did a fantastic job when it came to timing the scenes perfectly! <3"
125,125,O:56   That really give me GOOSEBUMPS ........................ L O V E     IT SO MUCH
126,126,OMG THIS SONG TOTTALY DESCRIBES DOCTOR STRANGE I LOVE IT
127,127,Amazing Editing ! Never seen this before.
128,128,That soul separation scene plus the e music literally gave me goosebumps
129,129,"After seeing this video for several times, listening this song just hits different"
130,130,All the lines are perfectly fitted with the scenes. You are doing well. I have good feelings about you
131,131,"I really loved this movie! Choose 1080p for best quality, and beware of spoilers."
132,132,"First things first 
 I'mma say all the words inside my head 
 I'm fired up and tired of the way that things have been, oh-ooh 
 The way that things have been, oh-ooh "
133,133,One of the best editing ever
134,134,Very accurate editing awesome work
135,135,When I was listening this song it feels like I was in a different world
136,136,"I am not lying,Dr. Strange is as precious to me as my life....
LOVE YOU DR. STRANGE!!!!"
137,137,"Marvel is nothing without dr strange .
I also want to become like him"
138,138,buena edición esta increíble :3
139,139,This is legit my favorite video ever...its so well done and gives me so much life. Believer now makes me go into a good mood because i just think of doctor strange
